date,category,description,experience
14/03/2025,code,Status Window Experience,10
15/03/2025,write,Wrote a poem,5
14/03/2025,grow,New Strategy / Plan for Life,5
22/03/2025,Life,Finished Job Series -1 before midnight,5
22/03/2025,write,Published Substack Tech Article ( Status Window),5
23/03/2025,write,Published Substack Poetic Review (Arcane),5
24/03/2025,life,Experimented with new routine,5
25/03/2025,social,First post on instagram,5
27/03/2025,code,Update AnimeWisdomVault ,10
02/04/2025,write,Poetic Review 4,10
02/04/2025,write,Dare to Dream,15
